a1,a2,Class
0.3139247819985035,0.2067714001392824,-1
0.483788897796974,0.0865221740318306,-1
0.3452911728996497,0.7558462384598471,1
0.9579116524679006,0.18180327287063247,-1
0.8336785436210542,0.42213441196996304,-1
0.6393679690237715,0.9173288341348728,1
0.5133343857834536,0.70346918099587,1
0.35968612633377905,0.12715766723059874,-1
0.6653115736801292,0.9888702063367596,1
0.03240500113775524,0.09067265701299743,-1
0.3511891821177132,0.6510293248233894,1
0.5150178925550577,0.7505761252170926,1
0.26895564288304163,0.3322814988696401,-1
0.17521510438189147,0.8599955060140636,1
0.2507041724502541,0.9045029920615129,1
0.2790994676478393,0.45415955895192006,-1
0.07090209696338456,0.13439024031446722,-1
0.44588818238412187,0.4098716762796214,1
0.3961751931192371,0.7368045167826337,1
0.27636956520810196,0.6508917588298281,1
0.6300012492269452,0.4330556305922171,-1
0.926427817073734,0.40932568728782126,-1
0.13408791187571034,0.9453572743993511,1
0.18899971949308214,0.4947386019075678,-1
0.2043235506928014,0.03940984292944294,-1
0.7937110738679739,0.0020113169186107838,-1
0.9322184887157142,0.8777267643887637,1
0.16901661959739434,0.810290731511906,1
0.644692820180006,0.047638624000988394,-1
0.2267395157421893,0.37945933710674573,-1
0.3349655621402303,0.9457332107553504,1
0.8261701725532171,0.8896468136007754,1
0.3318207265266069,0.834618490838975,1
0.6205460545367171,0.9153885935720206,1
0.8185588527629758,0.20346641227418638,-1
0.6773853597043522,0.23927800774158348,-1
0.7596107220459446,0.22864952419149376,-1
0.4581910571133594,0.4757562846229699,1
0.23607865259192262,0.21634673350487,-1
0.129908398894941,0.28835833248157205,-1
0.48680338402820644,0.3794483290919147,1
0.10550198829993707,0.16686972332448935,-1
0.1521716100409488,0.056439500144299215,-1
0.4722211359110412,0.6661742790736803,1
0.12981171747500442,0.06027593009185872,-1
0.6072562748494694,0.8537115418754074,1
0.40945333248463744,0.18083706492783314,-1
0.9794419587724434,0.36531567234452,-1
0.734779752944255,0.7662559155291865,1
0.7804713978684517,0.3381989685430943,-1
0.23061209443895003,0.28990237102459315,-1
0.9630225095745533,0.13898180048445363,-1
0.9059055095532917,0.8057371784026418,1
0.45845676621791065,0.7082996698687919,1
0.33075978939170136,0.1752898964021119,-1
0.349857768558015,0.6759056513322413,1
0.16386160001040306,0.4656400272242802,-1
0.03890946083822111,0.9818404550221012,1
0.3146183069074988,0.3297713255419258,-1
0.8208989556712809,0.6246531543098612,-1
0.19800649929684733,0.12031214940787371,-1
0.5133649224057419,0.01699179984400845,-1
0.04499507904603983,0.4367865110398853,-1
0.13694797995769192,0.25336948605190124,-1
0.0804642877775198,0.74847175126794,1
0.16406239038432602,0.4648359306844203,-1
0.35270229198154357,0.6934638978991674,1
0.43071129358573745,0.5115940652408821,1
0.7815877825554246,0.5100871336759211,-1
0.5782985093363329,0.7492527876740805,1
0.9152314234144189,0.3552611265990232,-1
0.1918798152140887,0.6168832921826154,-1
0.17630200612533564,0.6069411401268066,-1
0.8196921749240554,0.5660425190194065,-1
0.7125732571898288,0.19826998295424847,-1
0.9309517617118415,0.8607967052234922,1
0.7437156530167581,0.9203031906977078,1
0.21722469847866932,0.017989800259824218,-1
0.14547287841380319,0.3052064313922398,-1
0.42784101096274585,0.6862848824016066,1
0.07061863697751736,0.9854922186988556,1
0.14568094210831206,0.5578346843653986,-1
0.817123681891584,0.35717757077318346,-1
0.163206172897439,0.7778584765202737,1
0.46703861482306275,0.5840255729785531,1
0.5741349276333731,0.09194081823070555,-1
0.4987538914732145,0.6571518506233364,1
0.9321131548864618,0.22469780914647353,-1
0.8574840773992612,0.4534789796175648,-1
0.811696820817641,0.23660484734775689,-1
0.9646370413668657,0.8610097723386576,1
0.7346322041891362,0.9938742973105167,1
0.011786526848182044,0.6949889610375815,1
0.8699737873132268,0.9536657687421537,1
0.24808692678683375,0.4235172187689802,-1
0.253338975560807,0.27876548620194264,-1
0.09724599555009272,0.2376771819650696,-1
0.3922844965346508,0.4613959843066887,1
0.0334187025151087,0.32910900852420166,-1
0.9173611713419272,0.3362761452904681,-1
0.5802338448793389,0.8127934021584075,1
0.49504050572429026,0.4303665348536967,1
0.5204258917638463,0.047555137783234724,-1
0.3932606972430783,0.7514724039611372,1
0.42881899155253667,0.3841552074088128,1
0.9525923118857349,0.9778135241771884,1
0.8981726052264718,0.516174341405511,-1
0.24266012144913607,0.04408607467887171,-1
0.679149110225639,0.19746296006827146,-1
0.1093677696616937,0.8164010094243649,1
0.9236952593501851,0.02033623087267289,-1
0.652609430525591,0.12356206465063724,-1
